ticker,last_close,history_days,mom_1m,mom_3m,mom_6m,mom_12m_1m,above_ma50,above_ma200,rsi14,macd_hist,volatility,dollar_volume,dist_52w_high,pe_ratio,pb_ratio,ps_ratio,ev_ebitda,fcf_yield,roe,gross_margin,net_margin,net_debt_ebitda,revenue_growth,earnings_growth,market_cap,last_earnings_date,earnings_surprise_pct,days_since_earnings,sector,name,missing_fundamentals,exclude_reason,eligible,z_pe_ratio,z_pb_ratio,z_ev_ebitda,z_ps_ratio,z_fcf_yield,z_roe,z_gross_margin,z_net_margin,z_revenue_growth,z_earnings_growth,z_mom_3m,z_mom_6m,z_mom_12m_1m,z_above_ma200,z_above_ma50,z_dist_52w_high,z_earnings_surprise_pct,z_volatility,z_rsi14,z_macd_hist,block_value,block_quality,block_growth,block_momentum,block_earnings,block_risk,block_technical,composite,blocks_used,rank
SMCI,37.380001068115234,458,0.1829114119262767,0.27707552044811945,0.175841459314257,-0.2637464648278143,0.15814329075120193,0.1885476271087314,53.79072920878677,-0.004235531976085559,0.9606193452291301,1675121889.671917,-0.36298567018210826,12.144172,2.3688147,0.6555988,11.313,-0.3220960327197579,0.21465999,0.108219996,0.0571,0.6073675081951194,0.932,4.347,25609703424.0,2026-08-11,77.55,31.0,Information Technology,Supermicro,0,,True,0.6386554302957613,0.5785970671846958,0.5800861365023061,0.8840305120781401,-2.192082089266765,-0.21575380806222602,-1.434402740835161,-0.7864200523086429,4.120745224686987,3.721056435220899,1.7648176826695534,0.2464030662458889,-1.0166225631366217,1.004784386335265,2.6775106274264893,-1.5743232534962863,3.3708365531826945,-3.363908912256145,-1.1246969750787217,0.11650088373993228,0.09785741135882757,-0.81219220040201,3.9209008299539425,0.5170949910073814,3.3708365531826945,-3.363908912256145,-0.5040980456693946,0.5972201702708791,7.0,18.0
INCY,123.27999877929688,458,0.018253895184961566,0.16975044589862298,0.3023451723005115,0.414369180525471,0.015106367531827258,0.17349339176268508,48.27117415020488,-0.005313840187544381,0.3537271292088222,155219880.7611847,-0.0511813612818276,16.146498,4.015142,4.4147787,10.912,0.045954670235503,0.30667,0.55659,0.27706,-2.315524324154229,0.377,0.377,25691938816.0,2026-07-28,43.95,45.0,Health Care,Incyte,0,,True,0.5137832585586782,0.4140719390360337,0.6133000907575862,0.067163744180051,0.04878475765471134,0.070643480843723,0.4553982426959211,0.989154745716864,1.1795620934753035,-0.13367672384005463,0.9582451218992981,0.7048003196714121,0.3293471999831676,0.9041610955050968,0.4994836190702509,1.0200946204574823,1.6387401323475173,0.12226840518847197,-0.5127378040554013,-0.034578001610727944,0.3314207580374121,0.5050654897521694,0.5229426848176244,0.7360219960977846,1.6387401323475173,0.12226840518847197,-0.2736579028330646,0.5956593700845443,7.0,19.0
APA,44.529998779296875,458,0.09625799975939797,0.1800898719653048,0.36923179241554993,0.9407530493400471,0.15801129442919737,0.32753702904995463,62.93263978486159,-0.0017034591200807924,0.41250466517986206,216374622.07529068,-0.006913500718913945,9.023208,2.1361504,1.7480792,3.382,0.1432643686487051,0.26659,0.78255,0.19564,0.6008741146853147,0.092,0.263,14984535040.0,2026-08-05,1.01,37.0,Energy,APA Corporation,0,,True,0.7360291955995505,0.6018482905429665,1.0720286977655364,0.6466354000910783,2.8377602250598692,-0.05411254667274437,1.4077800399373868,0.3319111557221526,-0.33382924110137313,-0.24436679440251022,1.0359482811517264,0.9471698298452476,1.3741494782867745,1.9337967667293205,2.6755007159444824,1.3727244227462065,-0.5748378530888681,-0.25506322467011006,-2.138270706715965,0.4712628531348681,1.1788603618118003,0.561859549662265,-0.28909801775194166,1.5565482491172926,-0.5748378530888681,-0.25506322467011006,-0.8335039267905485,0.5891824160379656,7.0,20.0
GS,1019.77001953125,458,-0.009324659206006447,0.023444274427601997,0.24949114825685426,0.37398488901062144,-0.019442389538379734,0.08121676016089929,46.68136447342079,0.0005015731029701186,0.35403407057099645,1834627744.6395874,-0.11050154603609974,16.02546,2.8687,4.4755588,,,0.16902,0.82075995,0.31039,,0.425,0.923,302413512704.0,2026-07-14,44.27,59.0,Financials,Goldman Sachs,2,,True,0.517559632078155,0.5286412090499661,,0.05395627734944723,,-0.35781627932697885,1.5688282823409387,1.2582032455267849,1.4344490550882174,0.3964704562222327,-0.14127932637351337,0.5132791470341188,0.24918972882545062,0.2873792978873706,-0.02659121748535579,0.5265114876408564,1.6552362887364238,0.12029794687396754,-0.3364738477104123,0.7802040323642553,0.3667190394925228,0.8230717495135815,0.9154597556552251,0.23474818625482122,1.6552362887364238,0.12029794687396754,0.2218650923269215,0.5832667773197587,7.0,21.0
INTC,100.31999969482422,458,0.02671170437833248,-0.06278027992550506,1.0908712099197393,2.997954048663455,0.015035312408090862,0.33413480423209063,54.797364694520155,0.01904955436882561,0.7728960005692821,8895896402.556953,-0.2882077624730367,46.910885,5.5187516,8.879382,30.857,0.0096095768087776,-0.10715,0.38873002,-0.19794,1.2357482789016103,0.254,,506408894464.0,2026-07-23,94.59,50.0,Information Technology,Intel,1,,True,-0.4460625453188881,0.2638092530406313,-1.038700701316134,-0.9029909610039553,-0.9928953172054655,-1.1746657075170606,-0.2521021531144725,-1.9842049229235692,0.5264142543422116,,-0.7892766363943515,3.5620932904985976,4.0408062232861095,1.9778966386738954,0.498401660824109,-0.9521216520446332,4.196860964161699,-2.5686520426226456,-1.2363037641829018,2.390266647190162,-0.6233680543607623,-1.1369909278517008,0.5264142543422116,1.3896332541406213,4.196860964161699,-2.5686520426226456,0.5769814415036301,0.5710693118975338,7.0,22.0
DLTR,118.66000366210938,458,-0.07340304603850567,0.07559829577915078,0.04777045176255523,0.3298026324024732,-0.06700483414587177,0.010574185723618568,36.095867509232846,-0.01384676678743278,0.37253817085931884,316762411.3685608,-0.15969125401608908,16.105392,7.2471595,1.2286981,12.489,0.0425651542180866,0.46032003,0.3718,0.08035,2.641065474467533,0.07,1.972,24658374656.0,2026-08-27,136.13,15.0,Consumer Staples,Dollar Tree,0,,True,0.5150657616559834,0.0910814295752365,0.48268062477111057,0.7594964952635532,-0.04836154094761429,0.5489061397904803,-0.323459220183573,-0.5987399556815605,-0.4506524318406253,1.415013298503074,0.2506701107227093,-0.2176734159322941,0.16149379986633433,-0.1847993381707626,-0.7508258179436338,0.11722061527300569,4.196860964161699,0.0015079669010146016,0.8371519026120527,-1.2301035719354487,0.3599925540636538,-0.12443101202488438,0.4821804333312243,-0.10398567436410687,4.196860964161699,0.0015079669010146016,-0.196475834661698,0.5499077657718956,7.0,23.0
HPQ,32.72999954223633,458,0.1368447371276773,0.33852066324375585,0.8120502991265173,0.05239642782242404,0.18889703028799554,0.45611380049854655,64.19224132637174,0.0033340400326878497,0.46583046320773974,471507084.74407196,0.0,12.458015,-320.0,0.49752298,7.68,0.1151668961243693,,0.1966,0.04143,1.3308887064910464,0.125,-0.113,29434456064.0,2026-08-26,19.99,16.0,Information Technology,HP Inc.,1,,True,0.6288635600197064,,0.8809995923861781,0.9183802605874466,2.0324637043193277,,-1.0618965138492875,-0.9129124013041862,-0.15859445499249478,-0.6094498341523638,2.226592029247941,2.5517613667304526,-0.3891207833911343,2.7932105841752897,2.678251996438533,1.3727244227462065,0.40359042272814605,-0.5973965659874914,-2.277924122069393,1.177053413632927,1.1151767793281646,-0.9874044575767369,-0.3840221445724293,1.8722366026578812,0.40359042272814605,-0.5973965659874914,-0.550435354218233,0.5345681018375826,7.0,24.0
COF,207.11000061035156,458,-0.05160213962391824,0.170080416751615,0.14676160914437975,-0.003177478987335669,-0.022342413975501074,0.004145071378226506,40.09809903713158,-0.00668713274087561,0.2826736073152612,676965175.6448364,-0.18767068333901993,12.092511,1.3082409,2.8003454,,,0.09031,0.0,0.21867001,,11.11,,134724608000.0,2026-07-21,23.79,52.0,Financials,Capital One,3,,True,0.6402672483395961,0.6845851294345981,,0.4179788014104981,,-0.6028149551209196,-1.8905310568554488,0.5178154353833427,4.120745224686987,,0.9607249285707072,0.14102968918662526,-0.4994276295713367,-0.22777187232386328,-0.07074996619708575,-0.11558672403048476,0.5994822798464103,0.5784076560155171,0.3934200687845689,-0.22698635574628118,0.5809437263948974,-0.6585101921976751,4.120745224686987,0.03136973760576034,0.5994822798464103,0.5784076560155171,0.08321685651914387,0.5339933652139123,7.0,25.0
CVX,212.75999450683594,458,0.09130874267862743,0.1307523073538268,0.12926900538854036,0.30862677511524783,0.10426851371105506,0.1873292787847276,68.11840463210588,0.0013501543106846175,0.24189102222419193,1587820794.3035126,-0.0049109165321891135,20.076998,2.1549587,1.9542586,8.752,0.0536033998232793,0.12231,0.44267,0.09834,0.5634400984036094,0.535,3.219,409190465536.0,2026-07-31,8.84,42.0,Energy,Chevron Corporation,0,,True,0.391152050852808,0.599968689829452,0.7922081735291698,0.601832782348531,0.2680035973488021,-0.503209344329329,-0.024754591176214712,-0.45351995833441155,2.018565008784479,2.625807315971338,0.6651651626876879,0.07764371159236258,0.11946252715930782,0.9966408828679247,1.8571579742682147,1.3727244227462065,-0.17119752644781322,0.8402178705478436,-2.4203769210840202,0.8990964803941006,0.5306330587817526,-0.3271612979466518,2.3221861623779088,0.8481324468869508,-0.17119752644781322,0.8402178705478436,-0.7606402203449598,0.4988446446446637,7.0,26.0
BIIB,215.42999267578125,458,0.05659911383921812,0.10909177606753584,0.13098486721897262,0.41984673205843825,0.02916120768700936,0.12369802900645133,51.35516806417853,-0.004900160967185539,0.39532092648939093,152785465.35102844,-0.04044364194565164,39.2238,1.730507,3.2537737,11.818,0.0388306806981442,0.04575,0.78322,0.083229996,2.104697613717552,0.034,-0.848,32628516864.0,2026-07-29,77.38,44.0,Health Care,Biogen,0,,True,-0.2062262605490929,0.6423861182080116,0.5382580893728387,0.3194491966170363,-0.15539460343401976,-0.7415157681482096,1.4106039725101953,-0.5754918727755127,-0.6418176530503108,-1.1553266558208946,0.5023813001041989,0.08386128680624824,0.3402194144643176,0.5713263049336749,0.7134970413889573,1.1094395402551855,3.3620729701010887,-0.14474951348742032,-0.854663618546899,0.02338148978551343,0.22769450804295482,0.031198777195490985,-0.8985721544356027,0.553454147992097,3.3620729701010887,-0.14474951348742032,-0.41564106438069276,0.4836683452055093,7.0,27.0
NVDA,218.36000061035156,458,0.005077415967301269,0.09073117437715905,0.1764722179426954,0.2754140036099628,0.03030357005960682,0.1089555183542279,50.000911341285544,-0.0006158070705162574,0.40633093156551114,28267341875.504528,-0.07160808095172355,29.159492,24.291891,18.359913,27.466,0.0075163783072306,1.17211,0.74674004,0.63663,-0.1173024727005246,1.059,1.278,5562502742016.0,2026-08-26,6.16,16.0,Information Technology,Nvidia,0,,True,0.1077791445555633,-1.6122776985258633,-0.7578315769279674,-2.9631027199351085,-1.0528880965935454,2.7644772247022935,1.2568473347508717,3.0837518045070755,4.120745224686987,0.7411632198158443,0.3643971655964689,0.24868867522941365,0.05353957360139287,0.47278659814510504,0.7308918234133945,0.8501308159009207,-0.3093528362049048,-0.2154299714462333,-0.7045156785955082,0.6236508787024968,-1.2556641894853844,2.368358787986747,2.4309542222514153,0.4534057753144493,-0.3093528362049048,-0.2154299714462333,-0.040432399946505715,0.4787522761629038,7.0,28.0
WDC,460.92999267578125,458,0.0528576761259727,-0.05919734597640547,0.7157032112253165,3.639372158450305,-0.07387530766524031,0.22110569519937573,46.767105039053185,0.009068468113500814,0.9365101589128771,2964696348.6105347,-0.38212349091513653,17.358335,22.350464,13.045782,33.617,0.0134613199443246,1.30853,0.48851,0.72947,-0.0775689743960073,0.438,9.841,168538456064.0,2026-08-05,7.87,37.0,Information Technology,Western Digital,0,,True,0.47597406510933116,-1.4182618877169964,-1.2673054737464908,-1.808346329011376,-0.8825012117158799,3.1891083942081933,0.16845297470070505,3.0837518045070755,1.5034809405250482,3.847087761177096,-0.7623500656696028,2.2026392783198405,4.0408062232861095,1.222404204216863,-0.8554426997149979,-1.733562567261417,-0.2212015005016859,-3.363908912256145,-0.34597999900532295,1.9804888260375848,-0.9800881674162824,2.147104391138658,2.675284350851072,0.6857490621961325,-0.2212015005016859,-3.363908912256145,0.8172544135161309,0.47737562447692095,7.0,29.0
BMY,63.75,458,0.002200902189987586,0.15952575376688305,0.08593488554643147,0.41145868822638887,0.0075801612923389605,0.10684803710294544,42.89179391125454,-0.009081675697053215,0.28724087503536466,524889083.1548691,-0.06373911839198487,14.718061,6.116247,2.7750616,9.006,0.0594485038250167,0.46598998,0.71661,0.18871,1.7953514078079758,0.057,1.531,136494186496.0,2026-07-30,27.74,43.0,Health Care,Bristol Myers Squibb,0,,True,0.5583503503896795,0.20409876457747078,0.7711699082402892,0.4234729508089298,0.43552905402071,0.5665548533188486,1.1298544968762154,0.2759703785339511,-0.5196843172774562,0.9868174992219958,0.8814042144934373,-0.07938125665812319,0.3235702581632858,0.4587000840185264,0.38488187784764333,0.915605783794928,0.8031067102719743,0.5490873630778165,0.08368002975692525,-0.5624793779631504,0.4785242056074159,0.6574599095763384,0.23356659097226978,0.4807968269432829,0.8031067102719743,0.5490873630778165,-0.23939967410311258,0.4690897228108178,7.0,30.0
ZBRA,344.010009765625,458,-0.10194222325967506,0.5868352803147117,0.6100061436497135,0.227087744118863,0.07416658121391673,0.32822218319394514,48.76975896145935,-0.014581469071437793,0.6367520677296172,205398944.72457886,-0.10194222325967506,33.248394,5.0043454,2.9551113,16.864,0.0333795656461555,0.15286,0.49581,0.092180006,2.36908772972973,0.204,1.215,17278535680.0,2026-08-04,45.1,38.0,Information Technology,Zebra Technologies,0,,True,-0.019794189740568992,0.315216252107868,0.12030892934255571,0.38434829585426256,-0.311628014881289,-0.4081171127767322,0.1992211952701097,-0.5032450451792394,0.2609070026620927,0.679992391347119,2.4949634453338216,1.8196367218885292,-0.04238165235087596,1.9383763726082972,1.3987950529550204,0.5977307086914472,1.6980231943701498,-1.694654668880079,-0.5680164532475516,-1.3330407479232806,0.09769025453656566,-0.2373803208952873,0.4704496970046058,1.3678534415210397,1.6980231943701498,-1.694654668880079,-0.9505286005854161,0.46304561177488845,7.0,31.0
MS,212.66000366210938,458,-0.011205670619038433,0.03469781372361891,0.3361910946262474,0.4449185607512889,-0.012333908081699763,0.11846187813026443,46.63846586110895,-3.679974602350289e-05,0.2826905489976248,820065596.270752,-0.06440324288262289,17.572235,3.211162,4.393582,,,0.17969999,0.87641,0.25897,,0.28,0.624,341943681024.0,2026-07-15,17.94,58.0,Financials,Morgan Stanley,2,,True,0.4693004064581963,0.49441739192924716,,0.0717697700366761,,-0.32457293785203883,1.8033834896146927,0.8431275221476632,0.6644780252158734,0.10615176237859912,-0.05670639646111909,0.827443975478232,0.38998367452517363,0.5363276005601866,0.0816498174347196,0.9100798292142529,0.29791192086171425,0.5782988962229673,-0.33171763114045705,0.7047740494848921,0.3451625228080399,0.7739793579701058,0.38531489379723627,0.448129750125241,0.29791192086171425,0.5782988962229673,0.18652820917221752,0.4443059868085213,7.0,32.0
STX,862.3300170898438,458,0.05095548745109135,0.057543481290758036,1.2396824144994887,3.3180482090614483,0.014615959556010472,0.431671850890079,51.34334889829623,0.00565573032178249,0.8202237170683149,3149810123.1188965,-0.21123097502342003,60.967697,88.88331,15.808656,43.243,0.0100823936327661,3.7152898,0.45576,0.26108998,0.4873389181742822,0.485,1.488,192786563072.0,2026-07-28,12.09,45.0,Information Technology,Seagate Technology,0,,True,-0.8846336767409386,-4.470232154317022,-2.0646060315054098,-2.4087166263971604,-0.9793440006955643,4.160974657008298,0.030417464611937083,0.8602405566099206,1.75305775710436,0.9450659813782625,0.11498403720017136,3.9503391768095484,4.0408062232861095,2.629839323704391,0.49201616386776376,-0.3116239182474533,-0.0036584381229820134,-2.87247975688518,-0.8533532145598468,1.5023392431188547,-2.1615064979312186,1.6838775594100521,1.3490618692413112,1.8193935011034215,-0.0036584381229820134,-2.87247975688518,0.32449301427950394,0.41424512028763816,7.0,33.0
COP,137.0399932861328,458,0.09556888246534112,0.15038384435620045,0.1875523666710588,0.4046289300460142,0.12726462059107524,0.22239615351099618,67.363230645617,-0.0009699826563471533,0.28543720334234346,850090333.5790253,-0.0011662074757169405,17.759258,2.4681509,2.502235,6.605,0.0476861576962708,0.1418,0.47574002,0.144,0.5824495502200491,0.355,1.07,161291567104.0,2026-08-06,10.82,36.0,Energy,ConocoPhillips,0,,True,0.46346530752453013,0.5686699396719582,0.9700394946914801,0.48275795149182466,0.09841060306320834,-0.4425433020065757,0.11462974712441903,-0.08494046534548341,1.0627389027360512,0.5392023893159255,0.8127006676787237,0.28883856193811414,0.3100140925399205,1.2310296945861559,2.2073203012004985,1.3727244227462065,-0.06912755879145449,0.560666316982805,-2.4203769210840202,0.5740282827163656,0.5166686592886003,-0.13761800674254668,0.8009706460259883,1.03710462344827,-0.06912755879145449,0.560666316982805,-0.9231743191838273,0.413700655659508,7.0,34.0
